Issue ID,Summary,Issue Type,Description,Parent,Sprint,Fix Version,Story point estimate
1,Ядро,Epic,Розробка ядра системи (доменні моделі та базова логіка).,,1,1,13
2,Ініціалізація репозиторію та інтеграція з Git,Story,Налаштування Git-репозиторію та CI/CD для проекту.,1,1,3
3,Ініціалізувати Git-репозиторій проєкту,Sub-task,Створити початковий Git-репозиторій та виконати перший коміт.,2,1,1
4,Налаштувати CI/CD інтеграцію (GitHub Actions/Jenkins),Sub-task,Впровадити автоматизовану збірку та тестування через CI/CD.,2,1,1
5,Розробка ядра системи (доменні моделі),Story,"Реалізація основних доменних класів: User, Project, Issue, Board, Comment.",1,1,5
6,Створити модель користувача (User),Sub-task,Реалізувати клас User з полями та методами.,5,1,1
7,Створити модель проєкту (Project),Sub-task,Реалізувати клас Project з полями та методами.,5,1,1
8,Створити модель задачі (Issue),Sub-task,Реалізувати клас Issue з полями та методами.,5,1,1
9,Створити модель дошки (Board),Sub-task,Реалізувати клас Board з полями та методами.,5,1,1
10,Сервіси,Epic,Реалізація сервісного рівня (автентифікація, дошка).,,2,2,8
11,Реалізувати сервіс автентифікації (AuthService),Story,Створити сервіс авторизації користувачів з перевіркою прав доступу.,10,2,5
12,Реалізувати функцію входу (login),Sub-task,Додати метод входу з перевіркою логіну та пароля.,11,2,1
13,Реалізувати перевірку ролей та прав доступу,Sub-task,Додати логіку перевірки ролі користувача та дозволів.,11,2,1
14,Додати шифрування паролів,Sub-task,Забезпечити безпечне зберігання паролів (хешування).,11,2,1
15,Реалізувати сервіс дошки задач (BoardService),Story,Створити сервіс управління дошкою задач та операціями з задачами.,10,2,8
16,Реалізувати створення та видалення задач,Sub-task,Додати в BoardService можливість створювати нові задачі та видаляти існуючі.,15,2,1
17,Реалізувати зміну статусу задач (переміщення між колонками),Sub-task,Додати функцію зміни статусу задачі (переміщення між колонками дошки).,15,2,1
18,Реалізувати створення та налаштування дошки,Sub-task,Додати можливість створювати нову дошку задач та налаштовувати колонки.,15,2,1
19,Реалізувати репозиторій для збереження даних,Story,Імітувати базу даних через внутрішній репозиторій для збереження задач.,10,2,3
20,Створити інтерфейс репозиторію для задач,Sub-task,Визначити інтерфейс Repository з методами для CRUD-операцій над задачами.,19,2,1
21,Реалізувати збереження задач у пам’яті (InMemoryRepository),Sub-task,Створити клас-реалізацію репозиторію, що зберігає задачі у пам’яті.,19,2,1
22,Інтегрувати репозиторій із сервісним шаром,Sub-task,Оновити сервіси для використання нового репозиторію даних.,19,2,1
23,UI,Epic,Розробка користувацького інтерфейсу (Swing UI).,,3,3,13
24,Розробити інтерфейс дошки Kanban,Story,Створити графічний інтерфейс для дошки задач з колонками та картками.,23,3,8
25,Спроєктувати макет дошки,Sub-task,Розробити макет інтерфейсу дошки з необхідними колонками.,24,3,1
26,Реалізувати компоненти колонок,Sub-task,Створити графічні компоненти для колонок (статуси задач).,24,3,1
27,Реалізувати компоненти карток задач,Sub-task,Створити UI-компоненти для відображення окремих задач на дошці.,24,3,1
28,Зв’язати UI-дошки з даними задач,Sub-task,Забезпечити відображення реальних задач на дошці з використанням сервісів.,24,3,1
29,Реалізувати перетягування задач (drag-and-drop),Story,Додати drag-and-drop для переміщення карток між колонками.,23,3,5
30,Розробити обробник початку перетягування,Sub-task,Додати логіку початку перетягування картки задачі.,29,3,1
31,Розробити обробник завершення перетягування,Sub-task,Додати логіку відпускання картки над новою колонкою для зміни статусу.,29,3,1
32,Додати візуальне виділення при перетягуванні,Sub-task,Реалізувати підсвічування цільової колонки під час перетягування.,29,3,1
33,Створити панель входу та навігації,Story,Розробити форму входу та головну навігаційну панель.,23,3,3
34,Розробити інтерфейс форми входу,Sub-task,Створити GUI-форму для введення логіну й пароля.,33,3,1
35,Підключити логіку автентифікації до форми,Sub-task,Викликати AuthService для перевірки логіну/пароля.,33,3,1
36,Розробити головну панель навігації,Sub-task,Створити головне меню/панель навігації після входу.,33,3,1
37,API,Epic,Створення REST API для інтеграції та зовнішнього доступу.,,4,4,8
38,Розробити API для управління задачами,Story,REST API для CRUD-операцій із задачами.,37,4,5
39,Додати ендпойнт POST /issues,Sub-task,Створити ендпойнт для додавання задачі.,38,4,1
40,Додати ендпойнт GET /issues,Sub-task,Створити ендпойнт для отримання списку задач.,38,4,1
41,Додати ендпойнт PUT /issues,Sub-task,Створити ендпойнт для оновлення задачі.,38,4,1
42,Додати ендпойнт DELETE /issues,Sub-task,Створити ендпойнт для видалення задачі.,38,4,1
43,Розробити API для проєктів і користувачів,Story,REST API для проектів і користувачів.,37,4,3
44,Додати ендпойнт створення проєкту,Sub-task,Ендпойнт POST /projects.,43,4,1
45,Додати ендпойнт отримання проєктів,Sub-task,Ендпойнт GET /projects.,43,4,1
46,Додати ендпойнт отримання користувачів,Sub-task,Ендпойнт GET /users.,43,4,1
47,Тестування,Epic,Тестування й інтеграційна перевірка системи.,,5,5,8
48,Написати модульні та інтеграційні тести,Story,JUnit-тести для сервісів та інтеграції.,47,5,5
49,Написати тести для AuthService,Sub-task,Модульні тести логіки автентифікації.,48,5,1
50,Написати тести для BoardService,Sub-task,Модульні тести логіки дошки.,48,5,1
51,Написати інтеграційний тест сервісів,Sub-task,Перевірити взаємодію AuthService та BoardService.,48,5,1
52,Написати тест входу UI,Sub-task,SimpleLoginTest для перевірки процесу авторизації.,48,5,1
53,Протестувати API в Postman,Story,Перевірити REST API через Postman-колекції.,47,5,3
54,Створити Postman-колекцію,Sub-task,Зібрати запити API в Postman.,53,5,1
55,Протестувати ендпойнти задач,Sub-task,POST/GET/PUT/DELETE для задач у Postman.,53,5,1
56,Протестувати ендпойнти проєктів і користувачів,Sub-task,Запити для проектів і користувачів у Postman.,53,5,1
57,Провести ручне тестування,Story,Ручна перевірка ключових сценаріїв.,47,5,3
58,Перевірити сценарій входу,Sub-task,Коректність авторизації з різними даними.,57,5,1
59,Перевірити створення / переміщення задач,Sub-task,Створити й перемістити задачу між статусами.,57,5,1
60,Задокументувати знайдені дефекти,Sub-task,Записати будь-які виявлені помилки.,57,5,1
61,Документація,Epic,Підготовка документів і релізу.,,6,6,5
62,Підготувати користувацьку документацію,Story,Інструкції користувача Jira Lite.,61,6,3
63,Написати гайд користувача,Sub-task,Покрокова інструкція з основних функцій.,62,6,1
64,Підготувати розділ FAQ,Sub-task,Зібрати й відповісти на поширені запитання.,62,6,1
65,Відредагувати документ,Sub-task,Перевірити текст на помилки.,62,6,1
66,Створити діаграми архітектури,Story,"UML-діаграми (класи, компоненти) проєкту.",61,6,3
67,Побудувати UML-діаграму класів,Sub-task,Діаграма основних класів і зв’язків.,66,6,1
68,Побудувати діаграму компонентів,Sub-task,Діаграма основних модулів системи.,66,6,1
69,Вести щоденник розробки,Story,Щотижневий лог ходу робіт.,61,6,2
70,Записати тиждень 1,Sub-task,Опис виконаних задач за перший тиждень.,69,6,1
71,Записати тиждень 2,Sub-task,Опис виконаних задач за другий тиждень.,69,6,1
72,Записати тиждень 3,Sub-task,Опис виконаних задач за третій тиждень.,69,6,1
73,Записати тиждень 4,Sub-task,Опис виконаних задач за четвертий тиждень.,69,6,1
